"Step","obs_wo_linearv_seed2/11-30_15-20 - train/stats.tracking_error","obs_wo_linearv_seed2/11-30_15-20 - train/stats.tracking_error__MIN","obs_wo_linearv_seed2/11-30_15-20 - train/stats.tracking_error__MAX"
"2041","-0.19586452841758728","-0.19586452841758728","-0.19586452841758728"
"2064","-0.19317270815372467","-0.19317270815372467","-0.19317270815372467"
"2087","-0.19237224757671356","-0.19237224757671356","-0.19237224757671356"
"2110","-0.19569405913352966","-0.19569405913352966","-0.19569405913352966"
"2133","-0.19298586249351501","-0.19298586249351501","-0.19298586249351501"
"2156","-0.19425179064273834","-0.19425179064273834","-0.19425179064273834"
"2179","-0.1943802833557129","-0.1943802833557129","-0.1943802833557129"
"2202","-0.19595232605934143","-0.19595232605934143","-0.19595232605934143"
"2225","-0.19565683603286743","-0.19565683603286743","-0.19565683603286743"
"2248","-0.19536302983760834","-0.19536302983760834","-0.19536302983760834"
"2271","-0.204583540558815","-0.204583540558815","-0.204583540558815"
"2293","-0.20983365178108215","-0.20983365178108215","-0.20983365178108215"
"2316","-0.20633676648139954","-0.20633676648139954","-0.20633676648139954"
"2339","-0.20166125893592834","-0.20166125893592834","-0.20166125893592834"
"2362","-0.2012815624475479","-0.2012815624475479","-0.2012815624475479"
"2385","-0.19708891212940216","-0.19708891212940216","-0.19708891212940216"
"2408","-0.19546623528003693","-0.19546623528003693","-0.19546623528003693"
"2431","-0.19382686913013458","-0.19382686913013458","-0.19382686913013458"
"2454","-0.19178742170333862","-0.19178742170333862","-0.19178742170333862"
"2477","-0.1915547400712967","-0.1915547400712967","-0.1915547400712967"
"2500","-0.18740180134773254","-0.18740180134773254","-0.18740180134773254"
"2523","-0.18779514729976654","-0.18779514729976654","-0.18779514729976654"
"2547","-0.18721020221710205","-0.18721020221710205","-0.18721020221710205"
"2571","-0.18398045003414154","-0.18398045003414154","-0.18398045003414154"
"2595","-0.1821267306804657","-0.1821267306804657","-0.1821267306804657"
"2619","-0.18299412727355957","-0.18299412727355957","-0.18299412727355957"
"2643","-0.1825079619884491","-0.1825079619884491","-0.1825079619884491"
"2667","-0.18279846012592316","-0.18279846012592316","-0.18279846012592316"
"2691","-0.18512043356895447","-0.18512043356895447","-0.18512043356895447"
"2715","-0.18449291586875916","-0.18449291586875916","-0.18449291586875916"
"2739","-0.18519377708435059","-0.18519377708435059","-0.18519377708435059"
"2763","-0.18533985316753387","-0.18533985316753387","-0.18533985316753387"
"2787","-0.1832343488931656","-0.1832343488931656","-0.1832343488931656"
"2811","-0.183393657207489","-0.183393657207489","-0.183393657207489"
"2835","-0.18176953494548798","-0.18176953494548798","-0.18176953494548798"
"2859","-0.18119758367538452","-0.18119758367538452","-0.18119758367538452"
"2883","-0.1811085343360901","-0.1811085343360901","-0.1811085343360901"
"2907","-0.18028457462787628","-0.18028457462787628","-0.18028457462787628"
"2931","-0.18282736837863922","-0.18282736837863922","-0.18282736837863922"
"2955","-0.18252520263195038","-0.18252520263195038","-0.18252520263195038"
"2979","-0.18195806443691254","-0.18195806443691254","-0.18195806443691254"
"3003","-0.17926160991191864","-0.17926160991191864","-0.17926160991191864"
"3027","-0.18310201168060303","-0.18310201168060303","-0.18310201168060303"
"3051","-0.18319684267044067","-0.18319684267044067","-0.18319684267044067"
"3075","-0.18255358934402466","-0.18255358934402466","-0.18255358934402466"
"3099","-0.18403473496437073","-0.18403473496437073","-0.18403473496437073"
"3123","-0.18284232914447784","-0.18284232914447784","-0.18284232914447784"
"3147","-0.1823706477880478","-0.1823706477880478","-0.1823706477880478"
"3171","-0.18263240158557892","-0.18263240158557892","-0.18263240158557892"
"3195","-0.18087156116962433","-0.18087156116962433","-0.18087156116962433"
"3219","-0.1793375462293625","-0.1793375462293625","-0.1793375462293625"
"3243","-0.1800485998392105","-0.1800485998392105","-0.1800485998392105"
"3267","-0.1802591234445572","-0.1802591234445572","-0.1802591234445572"
"3291","-0.1806206852197647","-0.1806206852197647","-0.1806206852197647"
"3315","-0.17828212678432465","-0.17828212678432465","-0.17828212678432465"
"3339","-0.17914025485515594","-0.17914025485515594","-0.17914025485515594"
"3363","-0.17888811230659485","-0.17888811230659485","-0.17888811230659485"
"3387","-0.17529422044754028","-0.17529422044754028","-0.17529422044754028"
"3411","-0.1767982691526413","-0.1767982691526413","-0.1767982691526413"
"3435","-0.17719867825508118","-0.17719867825508118","-0.17719867825508118"
"3459","-0.17591539025306702","-0.17591539025306702","-0.17591539025306702"
"3483","-0.17910809814929962","-0.17910809814929962","-0.17910809814929962"
"3507","-0.1786283254623413","-0.1786283254623413","-0.1786283254623413"
"3531","-0.18019388616085052","-0.18019388616085052","-0.18019388616085052"
"3555","-0.18498069047927856","-0.18498069047927856","-0.18498069047927856"
"3579","-0.18336933851242065","-0.18336933851242065","-0.18336933851242065"
"3603","-0.18452712893486023","-0.18452712893486023","-0.18452712893486023"
"3627","-0.18322402238845825","-0.18322402238845825","-0.18322402238845825"
"3651","-0.1829724758863449","-0.1829724758863449","-0.1829724758863449"
"3675","-0.18137894570827484","-0.18137894570827484","-0.18137894570827484"
"3699","-0.17824304103851318","-0.17824304103851318","-0.17824304103851318"
"3723","-0.1775542050600052","-0.1775542050600052","-0.1775542050600052"
"3747","-0.17704015970230103","-0.17704015970230103","-0.17704015970230103"
"3771","-0.17718465626239777","-0.17718465626239777","-0.17718465626239777"
"3795","-0.1772870570421219","-0.1772870570421219","-0.1772870570421219"
"3819","-0.17927753925323486","-0.17927753925323486","-0.17927753925323486"
"3843","-0.17902368307113647","-0.17902368307113647","-0.17902368307113647"
"3867","-0.1763564646244049","-0.1763564646244049","-0.1763564646244049"
"3891","-0.1766727715730667","-0.1766727715730667","-0.1766727715730667"
"3915","-0.1758093237876892","-0.1758093237876892","-0.1758093237876892"
"3939","-0.17450754344463348","-0.17450754344463348","-0.17450754344463348"
"3963","-0.17432793974876404","-0.17432793974876404","-0.17432793974876404"
"3987","-0.17340266704559326","-0.17340266704559326","-0.17340266704559326"
"4011","-0.17372629046440125","-0.17372629046440125","-0.17372629046440125"
"4035","-0.17634309828281403","-0.17634309828281403","-0.17634309828281403"
"4059","-0.1773662120103836","-0.1773662120103836","-0.1773662120103836"
"4083","-0.17796041071414948","-0.17796041071414948","-0.17796041071414948"
"4107","-0.17959310114383698","-0.17959310114383698","-0.17959310114383698"
"4131","-0.18149897456169128","-0.18149897456169128","-0.18149897456169128"
"4155","-0.18327587842941284","-0.18327587842941284","-0.18327587842941284"
"4179","-0.18160124123096466","-0.18160124123096466","-0.18160124123096466"
"4203","-0.18203556537628174","-0.18203556537628174","-0.18203556537628174"
"4227","-0.1804230511188507","-0.1804230511188507","-0.1804230511188507"
"4251","-0.18152399361133575","-0.18152399361133575","-0.18152399361133575"
"4275","-0.17877879738807678","-0.17877879738807678","-0.17877879738807678"
"4299","-0.1772177368402481","-0.1772177368402481","-0.1772177368402481"
"4323","-0.1757904440164566","-0.1757904440164566","-0.1757904440164566"
"4347","-0.17910856008529663","-0.17910856008529663","-0.17910856008529663"
"4371","-0.17700427770614624","-0.17700427770614624","-0.17700427770614624"
