"Step","obs_best_seed2/11-29_10-38 - train/stats.tracking_error","obs_best_seed2/11-29_10-38 - train/stats.tracking_error__MIN","obs_best_seed2/11-29_10-38 - train/stats.tracking_error__MAX"
"3207","-0.020343659445643425","-0.020343659445643425","-0.020343659445643425"
"3229","-0.035247981548309326","-0.035247981548309326","-0.035247981548309326"
"3248","-0.05460699647665024","-0.05460699647665024","-0.05460699647665024"
"3269","-0.05136432871222496","-0.05136432871222496","-0.05136432871222496"
"3292","-0.04317052289843559","-0.04317052289843559","-0.04317052289843559"
"3315","-0.036240048706531525","-0.036240048706531525","-0.036240048706531525"
"3339","-0.027129139751195908","-0.027129139751195908","-0.027129139751195908"
"3363","-0.02625177428126335","-0.02625177428126335","-0.02625177428126335"
"3387","-0.025155995041131973","-0.025155995041131973","-0.025155995041131973"
"3411","-0.027440274134278297","-0.027440274134278297","-0.027440274134278297"
"3434","-0.03292975574731827","-0.03292975574731827","-0.03292975574731827"
"3457","-0.03831213340163231","-0.03831213340163231","-0.03831213340163231"
"3480","-0.037063077092170715","-0.037063077092170715","-0.037063077092170715"
"3504","-0.03229803219437599","-0.03229803219437599","-0.03229803219437599"
"3528","-0.030935009941458702","-0.030935009941458702","-0.030935009941458702"
"3552","-0.026911631226539612","-0.026911631226539612","-0.026911631226539612"
"3576","-0.023914316669106483","-0.023914316669106483","-0.023914316669106483"
"3600","-0.021349849179387093","-0.021349849179387093","-0.021349849179387093"
"3624","-0.021876225247979164","-0.021876225247979164","-0.021876225247979164"
"3648","-0.020853474736213684","-0.020853474736213684","-0.020853474736213684"
"3672","-0.020534487441182137","-0.020534487441182137","-0.020534487441182137"
"3697","-0.019310850650072098","-0.019310850650072098","-0.019310850650072098"
"3722","-0.01951044425368309","-0.01951044425368309","-0.01951044425368309"
"3747","-0.018708115443587303","-0.018708115443587303","-0.018708115443587303"
"3771","-0.018340496346354485","-0.018340496346354485","-0.018340496346354485"
"3795","-0.01722264476120472","-0.01722264476120472","-0.01722264476120472"
"3819","-0.016716105863451958","-0.016716105863451958","-0.016716105863451958"
"3843","-0.017480170354247093","-0.017480170354247093","-0.017480170354247093"
"3867","-0.016613231971859932","-0.016613231971859932","-0.016613231971859932"
"3891","-0.01990678906440735","-0.01990678906440735","-0.01990678906440735"
"3914","-0.024817710742354393","-0.024817710742354393","-0.024817710742354393"
"3938","-0.02157716080546379","-0.02157716080546379","-0.02157716080546379"
"3962","-0.020128147676587105","-0.020128147676587105","-0.020128147676587105"
"3986","-0.021298523992300034","-0.021298523992300034","-0.021298523992300034"
"4010","-0.02159152366220951","-0.02159152366220951","-0.02159152366220951"
"4034","-0.02039165422320366","-0.02039165422320366","-0.02039165422320366"
"4058","-0.02010389231145382","-0.02010389231145382","-0.02010389231145382"
