"Step","obs_quat_worotation_seed1/11-29_11-02 - train/stats.tracking_error","obs_quat_worotation_seed1/11-29_11-02 - train/stats.tracking_error__MIN","obs_quat_worotation_seed1/11-29_11-02 - train/stats.tracking_error__MAX"
"4646","-0.039852291345596313","-0.039852291345596313","-0.039852291345596313"
"4670","-0.04076648876070976","-0.04076648876070976","-0.04076648876070976"
"4694","-0.04408363625407219","-0.04408363625407219","-0.04408363625407219"
"4718","-0.04372085630893707","-0.04372085630893707","-0.04372085630893707"
"4742","-0.041431974619627","-0.041431974619627","-0.041431974619627"
"4766","-0.03971090912818909","-0.03971090912818909","-0.03971090912818909"
"4790","-0.038901571184396744","-0.038901571184396744","-0.038901571184396744"
"4814","-0.040117159485816956","-0.040117159485816956","-0.040117159485816956"
"4838","-0.03914570435881615","-0.03914570435881615","-0.03914570435881615"
"4862","-0.03842250257730484","-0.03842250257730484","-0.03842250257730484"
"4886","-0.03708338364958763","-0.03708338364958763","-0.03708338364958763"
"4910","-0.03798713907599449","-0.03798713907599449","-0.03798713907599449"
"4932","-0.07636260241270065","-0.07636260241270065","-0.07636260241270065"
"4951","-0.10617493093013763","-0.10617493093013763","-0.10617493093013763"
"4969","-0.12564249336719513","-0.12564249336719513","-0.12564249336719513"
"4988","-0.1320648193359375","-0.1320648193359375","-0.1320648193359375"
"5008","-0.11796420812606812","-0.11796420812606812","-0.11796420812606812"
"5028","-0.11252295970916748","-0.11252295970916748","-0.11252295970916748"
"5046","-0.12826590240001678","-0.12826590240001678","-0.12826590240001678"
"5064","-0.1232382133603096","-0.1232382133603096","-0.1232382133603096"
"5084","-0.12179692834615707","-0.12179692834615707","-0.12179692834615707"
"5104","-0.12760040163993835","-0.12760040163993835","-0.12760040163993835"
"5123","-0.1248338371515274","-0.1248338371515274","-0.1248338371515274"
"5141","-0.13159044086933136","-0.13159044086933136","-0.13159044086933136"
"5160","-0.11356399953365326","-0.11356399953365326","-0.11356399953365326"
"5181","-0.09996074438095093","-0.09996074438095093","-0.09996074438095093"
"5202","-0.09781862795352936","-0.09781862795352936","-0.09781862795352936"
"5223","-0.10447140038013458","-0.10447140038013458","-0.10447140038013458"
"5243","-0.10968511551618576","-0.10968511551618576","-0.10968511551618576"
"5263","-0.11159452795982361","-0.11159452795982361","-0.11159452795982361"
"5283","-0.10657835751771927","-0.10657835751771927","-0.10657835751771927"
"5303","-0.10677550733089447","-0.10677550733089447","-0.10677550733089447"
"5323","-0.10313332080841064","-0.10313332080841064","-0.10313332080841064"
"5344","-0.09478192776441574","-0.09478192776441574","-0.09478192776441574"
"5366","-0.08867133408784866","-0.08867133408784866","-0.08867133408784866"
"5388","-0.09043898433446884","-0.09043898433446884","-0.09043898433446884"
"5410","-0.08610066771507263","-0.08610066771507263","-0.08610066771507263"
"5432","-0.07771272212266922","-0.07771272212266922","-0.07771272212266922"
"5454","-0.07022488862276077","-0.07022488862276077","-0.07022488862276077"
"5476","-0.07640668004751205","-0.07640668004751205","-0.07640668004751205"
"5499","-0.06985435634851456","-0.06985435634851456","-0.06985435634851456"
"5521","-0.07622690498828888","-0.07622690498828888","-0.07622690498828888"
"5542","-0.08165529370307922","-0.08165529370307922","-0.08165529370307922"
"5564","-0.07900486141443253","-0.07900486141443253","-0.07900486141443253"
"5586","-0.07993941754102707","-0.07993941754102707","-0.07993941754102707"
"5608","-0.07295601069927216","-0.07295601069927216","-0.07295601069927216"
"5631","-0.06612201780080795","-0.06612201780080795","-0.06612201780080795"
"5654","-0.06651908904314041","-0.06651908904314041","-0.06651908904314041"
"5677","-0.06937534362077713","-0.06937534362077713","-0.06937534362077713"
"5699","-0.07450622320175171","-0.07450622320175171","-0.07450622320175171"
"5721","-0.07668891549110413","-0.07668891549110413","-0.07668891549110413"
"5743","-0.0820554867386818","-0.0820554867386818","-0.0820554867386818"
"5765","-0.08044526726007462","-0.08044526726007462","-0.08044526726007462"
"5788","-0.07272373139858246","-0.07272373139858246","-0.07272373139858246"
"5811","-0.06990917772054672","-0.06990917772054672","-0.06990917772054672"
"5834","-0.07084260135889053","-0.07084260135889053","-0.07084260135889053"
"5856","-0.07949569076299667","-0.07949569076299667","-0.07949569076299667"
"5879","-0.06896128505468369","-0.06896128505468369","-0.06896128505468369"
"5902","-0.061190612614154816","-0.061190612614154816","-0.061190612614154816"
"5926","-0.0538785494863987","-0.0538785494863987","-0.0538785494863987"
"5950","-0.05205834284424782","-0.05205834284424782","-0.05205834284424782"
"5974","-0.047419361770153046","-0.047419361770153046","-0.047419361770153046"
"5998","-0.044917985796928406","-0.044917985796928406","-0.044917985796928406"
"6022","-0.04149102047085762","-0.04149102047085762","-0.04149102047085762"
"6046","-0.04073264077305794","-0.04073264077305794","-0.04073264077305794"
"6070","-0.038503434509038925","-0.038503434509038925","-0.038503434509038925"
"6094","-0.03859947621822357","-0.03859947621822357","-0.03859947621822357"
"6118","-0.0379255935549736","-0.0379255935549736","-0.0379255935549736"
"6142","-0.038905881345272064","-0.038905881345272064","-0.038905881345272064"
"6166","-0.038881104439496994","-0.038881104439496994","-0.038881104439496994"
"6190","-0.03828970715403557","-0.03828970715403557","-0.03828970715403557"
"6214","-0.0409599132835865","-0.0409599132835865","-0.0409599132835865"
"6238","-0.04080343246459961","-0.04080343246459961","-0.04080343246459961"
"6262","-0.041092634201049805","-0.041092634201049805","-0.041092634201049805"
"6286","-0.038340646773576736","-0.038340646773576736","-0.038340646773576736"
"6310","-0.03947082906961441","-0.03947082906961441","-0.03947082906961441"
"6334","-0.03669855371117592","-0.03669855371117592","-0.03669855371117592"
"6358","-0.038641300052404404","-0.038641300052404404","-0.038641300052404404"
"6382","-0.0375206395983696","-0.0375206395983696","-0.0375206395983696"
"6406","-0.0378783643245697","-0.0378783643245697","-0.0378783643245697"
"6430","-0.0371774360537529","-0.0371774360537529","-0.0371774360537529"
"6454","-0.03969699889421463","-0.03969699889421463","-0.03969699889421463"
"6478","-0.04418949782848358","-0.04418949782848358","-0.04418949782848358"
"6502","-0.045687202364206314","-0.045687202364206314","-0.045687202364206314"
"6526","-0.04325253516435623","-0.04325253516435623","-0.04325253516435623"
"6550","-0.042324308305978775","-0.042324308305978775","-0.042324308305978775"
"6574","-0.040421243757009506","-0.040421243757009506","-0.040421243757009506"
"6598","-0.04161513224244118","-0.04161513224244118","-0.04161513224244118"
"6622","-0.04300856217741966","-0.04300856217741966","-0.04300856217741966"
"6646","-0.046106912195682526","-0.046106912195682526","-0.046106912195682526"
"6670","-0.046958427876234055","-0.046958427876234055","-0.046958427876234055"
"6694","-0.048937804996967316","-0.048937804996967316","-0.048937804996967316"
"6718","-0.0482143871486187","-0.0482143871486187","-0.0482143871486187"
"6742","-0.04396460950374603","-0.04396460950374603","-0.04396460950374603"
"6766","-0.04052942246198654","-0.04052942246198654","-0.04052942246198654"
"6790","-0.04223329946398735","-0.04223329946398735","-0.04223329946398735"
"6814","-0.04105309769511223","-0.04105309769511223","-0.04105309769511223"
"6838","-0.04534616693854332","-0.04534616693854332","-0.04534616693854332"
"6861","-0.050881385803222656","-0.050881385803222656","-0.050881385803222656"
"6885","-0.044935327023267746","-0.044935327023267746","-0.044935327023267746"
"6909","-0.0456109344959259","-0.0456109344959259","-0.0456109344959259"
"6933","-0.04455956816673279","-0.04455956816673279","-0.04455956816673279"
"6957","-0.042150065302848816","-0.042150065302848816","-0.042150065302848816"
"6981","-0.041263457387685776","-0.041263457387685776","-0.041263457387685776"
"7005","-0.0380249097943306","-0.0380249097943306","-0.0380249097943306"
"7029","-0.03875553980469704","-0.03875553980469704","-0.03875553980469704"
"7053","-0.040374044328927994","-0.040374044328927994","-0.040374044328927994"
"7077","-0.03703271225094795","-0.03703271225094795","-0.03703271225094795"
"7101","-0.03526310250163078","-0.03526310250163078","-0.03526310250163078"
"7125","-0.03542541339993477","-0.03542541339993477","-0.03542541339993477"
"7149","-0.03632170334458351","-0.03632170334458351","-0.03632170334458351"
"7173","-0.036231085658073425","-0.036231085658073425","-0.036231085658073425"
"7197","-0.03751740604639053","-0.03751740604639053","-0.03751740604639053"
"7221","-0.03930206969380379","-0.03930206969380379","-0.03930206969380379"
"7245","-0.04020112007856369","-0.04020112007856369","-0.04020112007856369"
"7269","-0.038988567888736725","-0.038988567888736725","-0.038988567888736725"
"7293","-0.04247890040278435","-0.04247890040278435","-0.04247890040278435"
"7317","-0.04299798607826233","-0.04299798607826233","-0.04299798607826233"
"7341","-0.04251312464475632","-0.04251312464475632","-0.04251312464475632"
"7365","-0.04408656805753708","-0.04408656805753708","-0.04408656805753708"
"7389","-0.04166403412818909","-0.04166403412818909","-0.04166403412818909"
"7413","-0.04023129865527153","-0.04023129865527153","-0.04023129865527153"
"7437","-0.0382687933743","-0.0382687933743","-0.0382687933743"
"7461","-0.03837714344263077","-0.03837714344263077","-0.03837714344263077"
"7485","-0.037413693964481354","-0.037413693964481354","-0.037413693964481354"
"7509","-0.03882373124361038","-0.03882373124361038","-0.03882373124361038"
"7533","-0.038548585027456284","-0.038548585027456284","-0.038548585027456284"
"7557","-0.03811982646584511","-0.03811982646584511","-0.03811982646584511"
"7581","-0.03731292858719826","-0.03731292858719826","-0.03731292858719826"
"7605","-0.03675712272524834","-0.03675712272524834","-0.03675712272524834"
"7629","-0.03670918941497803","-0.03670918941497803","-0.03670918941497803"
"7653","-0.0377846285700798","-0.0377846285700798","-0.0377846285700798"
"7677","-0.03676733374595642","-0.03676733374595642","-0.03676733374595642"
"7701","-0.03595660626888275","-0.03595660626888275","-0.03595660626888275"
"7725","-0.03763698413968086","-0.03763698413968086","-0.03763698413968086"
"7749","-0.03706718236207962","-0.03706718236207962","-0.03706718236207962"
"7773","-0.03751318156719208","-0.03751318156719208","-0.03751318156719208"
"7797","-0.03724486753344536","-0.03724486753344536","-0.03724486753344536"
"7821","-0.037401530891656876","-0.037401530891656876","-0.037401530891656876"
"7845","-0.03826324641704559","-0.03826324641704559","-0.03826324641704559"
"7869","-0.03748127818107605","-0.03748127818107605","-0.03748127818107605"
"7893","-0.038096364587545395","-0.038096364587545395","-0.038096364587545395"
"7917","-0.03712194040417671","-0.03712194040417671","-0.03712194040417671"
"7941","-0.03774186596274376","-0.03774186596274376","-0.03774186596274376"
"7965","-0.0382833331823349","-0.0382833331823349","-0.0382833331823349"
"7989","-0.03855622559785843","-0.03855622559785843","-0.03855622559785843"
"8013","-0.0391182042658329","-0.0391182042658329","-0.0391182042658329"
"8037","-0.038984160870313644","-0.038984160870313644","-0.038984160870313644"
"8061","-0.04016907513141632","-0.04016907513141632","-0.04016907513141632"
"8085","-0.03896006941795349","-0.03896006941795349","-0.03896006941795349"
"8109","-0.035306382924318314","-0.035306382924318314","-0.035306382924318314"
"8133","-0.03629233315587044","-0.03629233315587044","-0.03629233315587044"
"8157","-0.03624657541513443","-0.03624657541513443","-0.03624657541513443"
"8181","-0.03615196794271469","-0.03615196794271469","-0.03615196794271469"
"8205","-0.035042982548475266","-0.035042982548475266","-0.035042982548475266"
"8229","-0.03578779473900795","-0.03578779473900795","-0.03578779473900795"
"8253","-0.03534109517931938","-0.03534109517931938","-0.03534109517931938"
"8277","-0.03613073006272316","-0.03613073006272316","-0.03613073006272316"
"8301","-0.036184489727020264","-0.036184489727020264","-0.036184489727020264"
"8325","-0.03620786592364311","-0.03620786592364311","-0.03620786592364311"
"8349","-0.03590931370854378","-0.03590931370854378","-0.03590931370854378"
"8373","-0.035624850541353226","-0.035624850541353226","-0.035624850541353226"
"8397","-0.035336993634700775","-0.035336993634700775","-0.035336993634700775"
"8421","-0.034446556121110916","-0.034446556121110916","-0.034446556121110916"
"8445","-0.034093018621206284","-0.034093018621206284","-0.034093018621206284"
"8469","-0.034945905208587646","-0.034945905208587646","-0.034945905208587646"
"8493","-0.034868501126766205","-0.034868501126766205","-0.034868501126766205"
"8517","-0.03708544373512268","-0.03708544373512268","-0.03708544373512268"
"8541","-0.037906985729932785","-0.037906985729932785","-0.037906985729932785"
"8565","-0.03865053877234459","-0.03865053877234459","-0.03865053877234459"
"8589","-0.03987482935190201","-0.03987482935190201","-0.03987482935190201"
"8613","-0.03854630887508392","-0.03854630887508392","-0.03854630887508392"
"8637","-0.03806072846055031","-0.03806072846055031","-0.03806072846055031"
"8661","-0.03798183426260948","-0.03798183426260948","-0.03798183426260948"
"8685","-0.03899350017309189","-0.03899350017309189","-0.03899350017309189"
"8709","-0.0402473583817482","-0.0402473583817482","-0.0402473583817482"
"8733","-0.04161185771226883","-0.04161185771226883","-0.04161185771226883"
"8757","-0.038742586970329285","-0.038742586970329285","-0.038742586970329285"
"8781","-0.044138990342617035","-0.044138990342617035","-0.044138990342617035"
"8805","-0.04591313377022743","-0.04591313377022743","-0.04591313377022743"
