"Step","obs_critic_wot/11-28_18-05 - train/stats.tracking_error","obs_critic_wot/11-28_18-05 - train/stats.tracking_error__MIN","obs_critic_wot/11-28_18-05 - train/stats.tracking_error__MAX"
"6463","-0.0630655288696289","-0.0630655288696289","-0.0630655288696289"
"6487","-0.0652586817741394","-0.0652586817741394","-0.0652586817741394"
"6511","-0.06719788908958435","-0.06719788908958435","-0.06719788908958435"
"6535","-0.06411010026931763","-0.06411010026931763","-0.06411010026931763"
"6559","-0.06354987621307373","-0.06354987621307373","-0.06354987621307373"
"6583","-0.06278522312641144","-0.06278522312641144","-0.06278522312641144"
"6607","-0.0616336353123188","-0.0616336353123188","-0.0616336353123188"
"6631","-0.06462261080741882","-0.06462261080741882","-0.06462261080741882"
"6655","-0.06425561755895615","-0.06425561755895615","-0.06425561755895615"
"6679","-0.0631013810634613","-0.0631013810634613","-0.0631013810634613"
"6703","-0.06256138533353806","-0.06256138533353806","-0.06256138533353806"
"6727","-0.06416791677474976","-0.06416791677474976","-0.06416791677474976"
"6751","-0.06346569210290909","-0.06346569210290909","-0.06346569210290909"
"6775","-0.062401920557022095","-0.062401920557022095","-0.062401920557022095"
"6799","-0.06273733079433441","-0.06273733079433441","-0.06273733079433441"
"6823","-0.0647641196846962","-0.0647641196846962","-0.0647641196846962"
"6847","-0.06485699862241745","-0.06485699862241745","-0.06485699862241745"
"6871","-0.06620727479457855","-0.06620727479457855","-0.06620727479457855"
"6895","-0.06615235656499863","-0.06615235656499863","-0.06615235656499863"
"6919","-0.06618086248636246","-0.06618086248636246","-0.06618086248636246"
"6943","-0.06347142904996872","-0.06347142904996872","-0.06347142904996872"
"6967","-0.06179969757795334","-0.06179969757795334","-0.06179969757795334"
"6991","-0.063064344227314","-0.063064344227314","-0.063064344227314"
"7015","-0.06242259964346886","-0.06242259964346886","-0.06242259964346886"
"7040","-0.06358286738395691","-0.06358286738395691","-0.06358286738395691"
"7065","-0.06562624126672745","-0.06562624126672745","-0.06562624126672745"
"7090","-0.06347601115703583","-0.06347601115703583","-0.06347601115703583"
"7116","-0.06309480220079422","-0.06309480220079422","-0.06309480220079422"
"7141","-0.06299402564764023","-0.06299402564764023","-0.06299402564764023"
"7166","-0.06416729837656021","-0.06416729837656021","-0.06416729837656021"
"7190","-0.06346467137336731","-0.06346467137336731","-0.06346467137336731"
"7214","-0.062026072293519974","-0.062026072293519974","-0.062026072293519974"
"7238","-0.06255075335502625","-0.06255075335502625","-0.06255075335502625"
"7262","-0.06520256400108337","-0.06520256400108337","-0.06520256400108337"
"7286","-0.06499484926462173","-0.06499484926462173","-0.06499484926462173"
"7310","-0.06481120735406876","-0.06481120735406876","-0.06481120735406876"
"7334","-0.06357042491436005","-0.06357042491436005","-0.06357042491436005"
"7358","-0.06285633146762848","-0.06285633146762848","-0.06285633146762848"
"7382","-0.05978792905807495","-0.05978792905807495","-0.05978792905807495"
"7406","-0.05837341770529747","-0.05837341770529747","-0.05837341770529747"
"7430","-0.0584966279566288","-0.0584966279566288","-0.0584966279566288"
"7454","-0.058467548340559006","-0.058467548340559006","-0.058467548340559006"
"7478","-0.05835890397429466","-0.05835890397429466","-0.05835890397429466"
"7502","-0.059472620487213135","-0.059472620487213135","-0.059472620487213135"
"7526","-0.06061703339219093","-0.06061703339219093","-0.06061703339219093"
"7550","-0.06262640655040741","-0.06262640655040741","-0.06262640655040741"
"7574","-0.06155814975500107","-0.06155814975500107","-0.06155814975500107"
"7598","-0.06047413870692253","-0.06047413870692253","-0.06047413870692253"
"7622","-0.05963893234729767","-0.05963893234729767","-0.05963893234729767"
"7646","-0.06103990226984024","-0.06103990226984024","-0.06103990226984024"
"7670","-0.06106460094451904","-0.06106460094451904","-0.06106460094451904"
"7694","-0.060756612569093704","-0.060756612569093704","-0.060756612569093704"
"7719","-0.06125746667385101","-0.06125746667385101","-0.06125746667385101"
"7743","-0.06054460629820824","-0.06054460629820824","-0.06054460629820824"
"7767","-0.06038210541009903","-0.06038210541009903","-0.06038210541009903"
"7792","-0.06002000346779823","-0.06002000346779823","-0.06002000346779823"
"7817","-0.06086418777704239","-0.06086418777704239","-0.06086418777704239"
"7842","-0.06091228127479553","-0.06091228127479553","-0.06091228127479553"
"7867","-0.0626140609383583","-0.0626140609383583","-0.0626140609383583"
"7892","-0.06321195513010025","-0.06321195513010025","-0.06321195513010025"
"7916","-0.06379706412553787","-0.06379706412553787","-0.06379706412553787"
"7940","-0.06375321000814438","-0.06375321000814438","-0.06375321000814438"
"7964","-0.06397248059511185","-0.06397248059511185","-0.06397248059511185"
"7988","-0.06532765924930573","-0.06532765924930573","-0.06532765924930573"
"8012","-0.06481079757213593","-0.06481079757213593","-0.06481079757213593"
"8036","-0.06382327526807785","-0.06382327526807785","-0.06382327526807785"
"8060","-0.06259964406490326","-0.06259964406490326","-0.06259964406490326"
"8084","-0.06169978901743889","-0.06169978901743889","-0.06169978901743889"
"8108","-0.06230245903134346","-0.06230245903134346","-0.06230245903134346"
"8132","-0.060924578458070755","-0.060924578458070755","-0.060924578458070755"
"8156","-0.061284031718969345","-0.061284031718969345","-0.061284031718969345"
"8180","-0.06037234142422676","-0.06037234142422676","-0.06037234142422676"
"8204","-0.06044147536158562","-0.06044147536158562","-0.06044147536158562"
"8228","-0.0628267154097557","-0.0628267154097557","-0.0628267154097557"
"8252","-0.06207581236958504","-0.06207581236958504","-0.06207581236958504"
"8276","-0.06329446285963058","-0.06329446285963058","-0.06329446285963058"
"8300","-0.06322211772203445","-0.06322211772203445","-0.06322211772203445"
"8324","-0.06079532578587532","-0.06079532578587532","-0.06079532578587532"
"8348","-0.05971498414874077","-0.05971498414874077","-0.05971498414874077"
"8372","-0.05907391011714935","-0.05907391011714935","-0.05907391011714935"
"8396","-0.06170889362692833","-0.06170889362692833","-0.06170889362692833"
"8420","-0.062342021614313126","-0.062342021614313126","-0.062342021614313126"
"8444","-0.06292019039392471","-0.06292019039392471","-0.06292019039392471"
"8468","-0.06234615668654442","-0.06234615668654442","-0.06234615668654442"
"8492","-0.06236109510064125","-0.06236109510064125","-0.06236109510064125"
"8516","-0.0604982003569603","-0.0604982003569603","-0.0604982003569603"
"8541","-0.060290995985269547","-0.060290995985269547","-0.060290995985269547"
"8566","-0.06071871146559715","-0.06071871146559715","-0.06071871146559715"
"8591","-0.06164020299911499","-0.06164020299911499","-0.06164020299911499"
"8616","-0.06291309744119644","-0.06291309744119644","-0.06291309744119644"
"8641","-0.06308101117610931","-0.06308101117610931","-0.06308101117610931"
