"Step","obs_wo_linearv_seed1/11-29_10-38 - train/stats.tracking_error","obs_wo_linearv_seed1/11-29_10-38 - train/stats.tracking_error__MIN","obs_wo_linearv_seed1/11-29_10-38 - train/stats.tracking_error__MAX"
"4503","-0.16304631531238556","-0.16304631531238556","-0.16304631531238556"
"4526","-0.16183120012283325","-0.16183120012283325","-0.16183120012283325"
"4550","-0.16046060621738434","-0.16046060621738434","-0.16046060621738434"
"4573","-0.15676620602607727","-0.15676620602607727","-0.15676620602607727"
"4597","-0.15628494322299957","-0.15628494322299957","-0.15628494322299957"
"4620","-0.15790122747421265","-0.15790122747421265","-0.15790122747421265"
"4644","-0.1565784364938736","-0.1565784364938736","-0.1565784364938736"
"4668","-0.15894581377506256","-0.15894581377506256","-0.15894581377506256"
"4691","-0.16124975681304932","-0.16124975681304932","-0.16124975681304932"
"4715","-0.15550263226032257","-0.15550263226032257","-0.15550263226032257"
"4739","-0.15402789413928986","-0.15402789413928986","-0.15402789413928986"
"4763","-0.15387581288814545","-0.15387581288814545","-0.15387581288814545"
"4787","-0.15293581783771515","-0.15293581783771515","-0.15293581783771515"
"4811","-0.15039139986038208","-0.15039139986038208","-0.15039139986038208"
"4835","-0.15007774531841278","-0.15007774531841278","-0.15007774531841278"
"4859","-0.14971709251403809","-0.14971709251403809","-0.14971709251403809"
"4883","-0.1509513258934021","-0.1509513258934021","-0.1509513258934021"
"4907","-0.15022099018096924","-0.15022099018096924","-0.15022099018096924"
"4931","-0.1515624225139618","-0.1515624225139618","-0.1515624225139618"
"4955","-0.15170490741729736","-0.15170490741729736","-0.15170490741729736"
"4979","-0.14959266781806946","-0.14959266781806946","-0.14959266781806946"
"5003","-0.1481458991765976","-0.1481458991765976","-0.1481458991765976"
"5027","-0.14830291271209717","-0.14830291271209717","-0.14830291271209717"
"5051","-0.1477266550064087","-0.1477266550064087","-0.1477266550064087"
"5075","-0.14753271639347076","-0.14753271639347076","-0.14753271639347076"
"5099","-0.14882466197013855","-0.14882466197013855","-0.14882466197013855"
"5123","-0.15066616237163544","-0.15066616237163544","-0.15066616237163544"
"5147","-0.15200315415859222","-0.15200315415859222","-0.15200315415859222"
"5171","-0.1528598666191101","-0.1528598666191101","-0.1528598666191101"
"5195","-0.153176948428154","-0.153176948428154","-0.153176948428154"
"5219","-0.15373653173446655","-0.15373653173446655","-0.15373653173446655"
"5243","-0.15417064726352692","-0.15417064726352692","-0.15417064726352692"
"5267","-0.15257886052131653","-0.15257886052131653","-0.15257886052131653"
"5291","-0.15039601922035217","-0.15039601922035217","-0.15039601922035217"
"5315","-0.15189899504184723","-0.15189899504184723","-0.15189899504184723"
"5339","-0.150094136595726","-0.150094136595726","-0.150094136595726"
"5363","-0.14999376237392426","-0.14999376237392426","-0.14999376237392426"
"5387","-0.15132395923137665","-0.15132395923137665","-0.15132395923137665"
"5411","-0.1513976901769638","-0.1513976901769638","-0.1513976901769638"
"5435","-0.1481509506702423","-0.1481509506702423","-0.1481509506702423"
"5459","-0.14621303975582123","-0.14621303975582123","-0.14621303975582123"
"5483","-0.1481848806142807","-0.1481848806142807","-0.1481848806142807"
"5507","-0.15051190555095673","-0.15051190555095673","-0.15051190555095673"
"5531","-0.15127475559711456","-0.15127475559711456","-0.15127475559711456"
"5555","-0.14885154366493225","-0.14885154366493225","-0.14885154366493225"
"5579","-0.14714044332504272","-0.14714044332504272","-0.14714044332504272"
"5603","-0.14669722318649292","-0.14669722318649292","-0.14669722318649292"
"5627","-0.1500828117132187","-0.1500828117132187","-0.1500828117132187"
"5651","-0.14918622374534607","-0.14918622374534607","-0.14918622374534607"
"5675","-0.1487927883863449","-0.1487927883863449","-0.1487927883863449"
"5699","-0.14694003760814667","-0.14694003760814667","-0.14694003760814667"
"5723","-0.14545460045337677","-0.14545460045337677","-0.14545460045337677"
"5747","-0.142958864569664","-0.142958864569664","-0.142958864569664"
"5771","-0.14644265174865723","-0.14644265174865723","-0.14644265174865723"
"5795","-0.14381591975688934","-0.14381591975688934","-0.14381591975688934"
"5819","-0.14493130147457123","-0.14493130147457123","-0.14493130147457123"
"5843","-0.14346928894519806","-0.14346928894519806","-0.14346928894519806"
"5867","-0.142181858420372","-0.142181858420372","-0.142181858420372"
"5891","-0.1407269984483719","-0.1407269984483719","-0.1407269984483719"
"5915","-0.1400090456008911","-0.1400090456008911","-0.1400090456008911"
"5939","-0.14105165004730225","-0.14105165004730225","-0.14105165004730225"
"5963","-0.14062459766864777","-0.14062459766864777","-0.14062459766864777"
"5987","-0.14009562134742737","-0.14009562134742737","-0.14009562134742737"
"6011","-0.13724370300769806","-0.13724370300769806","-0.13724370300769806"
"6035","-0.13744133710861206","-0.13744133710861206","-0.13744133710861206"
"6059","-0.136346235871315","-0.136346235871315","-0.136346235871315"
"6083","-0.1373712420463562","-0.1373712420463562","-0.1373712420463562"
"6107","-0.1373443454504013","-0.1373443454504013","-0.1373443454504013"
"6131","-0.13772200047969818","-0.13772200047969818","-0.13772200047969818"
"6155","-0.13576063513755798","-0.13576063513755798","-0.13576063513755798"
"6179","-0.1351616382598877","-0.1351616382598877","-0.1351616382598877"
"6203","-0.13698653876781464","-0.13698653876781464","-0.13698653876781464"
"6227","-0.13737788796424866","-0.13737788796424866","-0.13737788796424866"
"6251","-0.13481000065803528","-0.13481000065803528","-0.13481000065803528"
"6275","-0.1371227502822876","-0.1371227502822876","-0.1371227502822876"
"6299","-0.14063355326652527","-0.14063355326652527","-0.14063355326652527"
"6323","-0.14150960743427277","-0.14150960743427277","-0.14150960743427277"
"6347","-0.14162155985832214","-0.14162155985832214","-0.14162155985832214"
"6371","-0.14104396104812622","-0.14104396104812622","-0.14104396104812622"
"6395","-0.13691169023513794","-0.13691169023513794","-0.13691169023513794"
"6419","-0.13734187185764313","-0.13734187185764313","-0.13734187185764313"
"6443","-0.13515415787696838","-0.13515415787696838","-0.13515415787696838"
"6467","-0.13663369417190552","-0.13663369417190552","-0.13663369417190552"
"6491","-0.13611464202404022","-0.13611464202404022","-0.13611464202404022"
"6515","-0.13689182698726654","-0.13689182698726654","-0.13689182698726654"
