"Step","obs_critic_wot_seed1/11-29_10-38 - train/stats.tracking_error","obs_critic_wot_seed1/11-29_10-38 - train/stats.tracking_error__MIN","obs_critic_wot_seed1/11-29_10-38 - train/stats.tracking_error__MAX"
"4683","-0.07513561844825745","-0.07513561844825745","-0.07513561844825745"
"4707","-0.07667258381843567","-0.07667258381843567","-0.07667258381843567"
"4731","-0.08092465251684189","-0.08092465251684189","-0.08092465251684189"
"4755","-0.07872972637414932","-0.07872972637414932","-0.07872972637414932"
"4779","-0.07575003057718277","-0.07575003057718277","-0.07575003057718277"
"4803","-0.07653537392616272","-0.07653537392616272","-0.07653537392616272"
"4827","-0.07671242207288742","-0.07671242207288742","-0.07671242207288742"
"4851","-0.07802709937095642","-0.07802709937095642","-0.07802709937095642"
"4875","-0.07807791233062744","-0.07807791233062744","-0.07807791233062744"
"4899","-0.07537218928337097","-0.07537218928337097","-0.07537218928337097"
"4923","-0.07459668070077896","-0.07459668070077896","-0.07459668070077896"
"4947","-0.07418715953826904","-0.07418715953826904","-0.07418715953826904"
"4971","-0.07690492272377014","-0.07690492272377014","-0.07690492272377014"
"4995","-0.07660388946533203","-0.07660388946533203","-0.07660388946533203"
"5019","-0.07595419138669968","-0.07595419138669968","-0.07595419138669968"
"5043","-0.07515483349561691","-0.07515483349561691","-0.07515483349561691"
"5067","-0.07234598696231842","-0.07234598696231842","-0.07234598696231842"
"5091","-0.07117599248886108","-0.07117599248886108","-0.07117599248886108"
"5115","-0.07294588536024094","-0.07294588536024094","-0.07294588536024094"
"5139","-0.0725209042429924","-0.0725209042429924","-0.0725209042429924"
"5163","-0.07551160454750061","-0.07551160454750061","-0.07551160454750061"
"5188","-0.07420779764652252","-0.07420779764652252","-0.07420779764652252"
"5213","-0.07321855425834656","-0.07321855425834656","-0.07321855425834656"
"5238","-0.07387831062078476","-0.07387831062078476","-0.07387831062078476"
"5263","-0.07695107161998749","-0.07695107161998749","-0.07695107161998749"
"5289","-0.07493864744901657","-0.07493864744901657","-0.07493864744901657"
"5315","-0.0740557536482811","-0.0740557536482811","-0.0740557536482811"
"5339","-0.0733342319726944","-0.0733342319726944","-0.0733342319726944"
"5363","-0.07232493162155151","-0.07232493162155151","-0.07232493162155151"
"5387","-0.07770367711782455","-0.07770367711782455","-0.07770367711782455"
"5411","-0.07679219543933868","-0.07679219543933868","-0.07679219543933868"
"5435","-0.07273605465888977","-0.07273605465888977","-0.07273605465888977"
"5459","-0.07088001817464828","-0.07088001817464828","-0.07088001817464828"
"5483","-0.0716976523399353","-0.0716976523399353","-0.0716976523399353"
"5507","-0.07131966203451157","-0.07131966203451157","-0.07131966203451157"
"5531","-0.07133816182613373","-0.07133816182613373","-0.07133816182613373"
"5555","-0.07328645884990692","-0.07328645884990692","-0.07328645884990692"
"5579","-0.07027952373027802","-0.07027952373027802","-0.07027952373027802"
"5603","-0.07193172723054886","-0.07193172723054886","-0.07193172723054886"
"5627","-0.0734899714589119","-0.0734899714589119","-0.0734899714589119"
"5651","-0.07443201541900635","-0.07443201541900635","-0.07443201541900635"
"5675","-0.07228658348321915","-0.07228658348321915","-0.07228658348321915"
"5699","-0.07153567671775818","-0.07153567671775818","-0.07153567671775818"
"5723","-0.07033993303775787","-0.07033993303775787","-0.07033993303775787"
"5747","-0.06918363273143768","-0.06918363273143768","-0.06918363273143768"
"5771","-0.07254701852798462","-0.07254701852798462","-0.07254701852798462"
"5795","-0.07467030733823776","-0.07467030733823776","-0.07467030733823776"
"5819","-0.0755099505186081","-0.0755099505186081","-0.0755099505186081"
"5843","-0.07479511946439743","-0.07479511946439743","-0.07479511946439743"
"5868","-0.07459071278572083","-0.07459071278572083","-0.07459071278572083"
"5893","-0.07581228762865067","-0.07581228762865067","-0.07581228762865067"
"5918","-0.074922576546669","-0.074922576546669","-0.074922576546669"
"5943","-0.07193103432655334","-0.07193103432655334","-0.07193103432655334"
"5969","-0.07294238358736038","-0.07294238358736038","-0.07294238358736038"
"5994","-0.07546219974756241","-0.07546219974756241","-0.07546219974756241"
"6019","-0.07398048043251038","-0.07398048043251038","-0.07398048043251038"
"6043","-0.0768178254365921","-0.0768178254365921","-0.0768178254365921"
"6067","-0.07451734691858292","-0.07451734691858292","-0.07451734691858292"
"6091","-0.07193499058485031","-0.07193499058485031","-0.07193499058485031"
"6115","-0.07382595539093018","-0.07382595539093018","-0.07382595539093018"
"6139","-0.07148820906877518","-0.07148820906877518","-0.07148820906877518"
"6163","-0.0708971619606018","-0.0708971619606018","-0.0708971619606018"
"6187","-0.07106456905603409","-0.07106456905603409","-0.07106456905603409"
"6211","-0.07041390985250473","-0.07041390985250473","-0.07041390985250473"
"6235","-0.06957480311393738","-0.06957480311393738","-0.06957480311393738"
"6259","-0.07048434019088745","-0.07048434019088745","-0.07048434019088745"
"6283","-0.06746552884578705","-0.06746552884578705","-0.06746552884578705"
"6307","-0.06736135482788086","-0.06736135482788086","-0.06736135482788086"
"6331","-0.06681685149669647","-0.06681685149669647","-0.06681685149669647"
"6355","-0.06811676919460297","-0.06811676919460297","-0.06811676919460297"
"6379","-0.07056859880685806","-0.07056859880685806","-0.07056859880685806"
"6403","-0.0709175318479538","-0.0709175318479538","-0.0709175318479538"
"6427","-0.0686873123049736","-0.0686873123049736","-0.0686873123049736"
"6451","-0.07020024210214615","-0.07020024210214615","-0.07020024210214615"
"6475","-0.06849854439496994","-0.06849854439496994","-0.06849854439496994"
"6499","-0.06835494935512543","-0.06835494935512543","-0.06835494935512543"
"6524","-0.06551530957221985","-0.06551530957221985","-0.06551530957221985"
"6549","-0.06581805646419525","-0.06581805646419525","-0.06581805646419525"
"6574","-0.07022237032651901","-0.07022237032651901","-0.07022237032651901"
"6600","-0.06721433997154236","-0.06721433997154236","-0.06721433997154236"
"6626","-0.06558024138212204","-0.06558024138212204","-0.06558024138212204"
"6651","-0.06651449203491211","-0.06651449203491211","-0.06651449203491211"
"6675","-0.06811235845088959","-0.06811235845088959","-0.06811235845088959"
"6699","-0.06758322566747665","-0.06758322566747665","-0.06758322566747665"
"6723","-0.06554378569126129","-0.06554378569126129","-0.06554378569126129"
"6747","-0.06642487645149231","-0.06642487645149231","-0.06642487645149231"
