"Step","obs_add_history_seed1/12-06_21-31 - train/stats.tracking_error_xy","obs_add_history_seed1/12-06_21-31 - train/stats.tracking_error_xy__MIN","obs_add_history_seed1/12-06_21-31 - train/stats.tracking_error_xy__MAX"
"3438","-0.08335164189338684","-0.08335164189338684","-0.08335164189338684"
"3459","-0.08224965631961823","-0.08224965631961823","-0.08224965631961823"
"3481","-0.07161034643650055","-0.07161034643650055","-0.07161034643650055"
"3503","-0.0685536339879036","-0.0685536339879036","-0.0685536339879036"
"3524","-0.07333233207464218","-0.07333233207464218","-0.07333233207464218"
"3544","-0.0899825319647789","-0.0899825319647789","-0.0899825319647789"
"3566","-0.06669402867555618","-0.06669402867555618","-0.06669402867555618"
"3588","-0.06162617728114128","-0.06162617728114128","-0.06162617728114128"
"3608","-0.10114720463752747","-0.10114720463752747","-0.10114720463752747"
"3624","-0.13761591911315918","-0.13761591911315918","-0.13761591911315918"
"3642","-0.11411642283201218","-0.11411642283201218","-0.11411642283201218"
"3659","-0.12092920392751694","-0.12092920392751694","-0.12092920392751694"
"3678","-0.11505065858364105","-0.11505065858364105","-0.11505065858364105"
"3700","-0.07360297441482544","-0.07360297441482544","-0.07360297441482544"
"3722","-0.06921222805976868","-0.06921222805976868","-0.06921222805976868"
"3742","-0.08215487003326416","-0.08215487003326416","-0.08215487003326416"
"3765","-0.05331402271986008","-0.05331402271986008","-0.05331402271986008"
"3788","-0.06023164466023445","-0.06023164466023445","-0.06023164466023445"
"3810","-0.06667732447385788","-0.06667732447385788","-0.06667732447385788"
"3832","-0.07623367756605148","-0.07623367756605148","-0.07623367756605148"
"3853","-0.09838946163654327","-0.09838946163654327","-0.09838946163654327"
"3870","-0.15262213349342346","-0.15262213349342346","-0.15262213349342346"
"3886","-0.1850864589214325","-0.1850864589214325","-0.1850864589214325"
"3902","-0.16266295313835144","-0.16266295313835144","-0.16266295313835144"
"3918","-0.15718458592891693","-0.15718458592891693","-0.15718458592891693"
"3937","-0.14413075149059296","-0.14413075149059296","-0.14413075149059296"
"3954","-0.1585509479045868","-0.1585509479045868","-0.1585509479045868"
"3967","-0.19327472150325775","-0.19327472150325775","-0.19327472150325775"
"3982","-0.21276789903640747","-0.21276789903640747","-0.21276789903640747"
"3996","-0.18360210955142975","-0.18360210955142975","-0.18360210955142975"
"4011","-0.18773438036441803","-0.18773438036441803","-0.18773438036441803"
"4027","-0.17239528894424438","-0.17239528894424438","-0.17239528894424438"
"4043","-0.15043483674526215","-0.15043483674526215","-0.15043483674526215"
"4059","-0.16764423251152039","-0.16764423251152039","-0.16764423251152039"
"4078","-0.13578937947750092","-0.13578937947750092","-0.13578937947750092"
"4096","-0.10990248620510101","-0.10990248620510101","-0.10990248620510101"
"4113","-0.10164574533700943","-0.10164574533700943","-0.10164574533700943"
"4132","-0.09216877073049545","-0.09216877073049545","-0.09216877073049545"
"4153","-0.08369375020265579","-0.08369375020265579","-0.08369375020265579"
"4175","-0.07013768702745438","-0.07013768702745438","-0.07013768702745438"
"4197","-0.07934321463108063","-0.07934321463108063","-0.07934321463108063"
"4218","-0.09304668754339218","-0.09304668754339218","-0.09304668754339218"
