"Step","obs_best_seed0/11-29_18-39 - train/stats.tracking_error","obs_best_seed0/11-29_18-39 - train/stats.tracking_error__MIN","obs_best_seed0/11-29_18-39 - train/stats.tracking_error__MAX"
"1747","-0.04143543541431427","-0.04143543541431427","-0.04143543541431427"
"1769","-0.06845984607934952","-0.06845984607934952","-0.06845984607934952"
"1791","-0.0707753449678421","-0.0707753449678421","-0.0707753449678421"
"1814","-0.052668314427137375","-0.052668314427137375","-0.052668314427137375"
"1837","-0.0457209013402462","-0.0457209013402462","-0.0457209013402462"
"1860","-0.042070530354976654","-0.042070530354976654","-0.042070530354976654"
"1884","-0.03608733415603638","-0.03608733415603638","-0.03608733415603638"
"1907","-0.04271809756755829","-0.04271809756755829","-0.04271809756755829"
"1931","-0.035375531762838364","-0.035375531762838364","-0.035375531762838364"
"1955","-0.03309528902173042","-0.03309528902173042","-0.03309528902173042"
"1979","-0.039062485098838806","-0.039062485098838806","-0.039062485098838806"
"2002","-0.04493322968482971","-0.04493322968482971","-0.04493322968482971"
"2026","-0.041102927178144455","-0.041102927178144455","-0.041102927178144455"
"2050","-0.039413806051015854","-0.039413806051015854","-0.039413806051015854"
"2074","-0.04026760905981064","-0.04026760905981064","-0.04026760905981064"
"2098","-0.03698188439011574","-0.03698188439011574","-0.03698188439011574"
"2122","-0.03417973220348358","-0.03417973220348358","-0.03417973220348358"
"2146","-0.03011365421116352","-0.03011365421116352","-0.03011365421116352"
"2170","-0.03262120112776756","-0.03262120112776756","-0.03262120112776756"
"2194","-0.02862631343305111","-0.02862631343305111","-0.02862631343305111"
"2218","-0.025383424013853073","-0.025383424013853073","-0.025383424013853073"
"2242","-0.02303791046142578","-0.02303791046142578","-0.02303791046142578"
"2266","-0.021309232339262962","-0.021309232339262962","-0.021309232339262962"
"2290","-0.019857680425047874","-0.019857680425047874","-0.019857680425047874"
"2314","-0.019347263500094414","-0.019347263500094414","-0.019347263500094414"
"2338","-0.019362851977348328","-0.019362851977348328","-0.019362851977348328"
"2362","-0.018073171377182007","-0.018073171377182007","-0.018073171377182007"
"2386","-0.018126755952835083","-0.018126755952835083","-0.018126755952835083"
"2410","-0.03004475310444832","-0.03004475310444832","-0.03004475310444832"
"2434","-0.03615885600447655","-0.03615885600447655","-0.03615885600447655"
"2458","-0.026786549016833305","-0.026786549016833305","-0.026786549016833305"
"2482","-0.02309202216565609","-0.02309202216565609","-0.02309202216565609"
"2506","-0.02217450737953186","-0.02217450737953186","-0.02217450737953186"
"2530","-0.020829519256949425","-0.020829519256949425","-0.020829519256949425"
"2554","-0.03219025209546089","-0.03219025209546089","-0.03219025209546089"
"2578","-0.03481290116906166","-0.03481290116906166","-0.03481290116906166"
"2602","-0.027433963492512703","-0.027433963492512703","-0.027433963492512703"
"2626","-0.025140803307294846","-0.025140803307294846","-0.025140803307294846"
"2650","-0.022995339706540108","-0.022995339706540108","-0.022995339706540108"
"2674","-0.021482551470398903","-0.021482551470398903","-0.021482551470398903"
"2698","-0.019903559237718582","-0.019903559237718582","-0.019903559237718582"
"2722","-0.02582566626369953","-0.02582566626369953","-0.02582566626369953"
"2746","-0.026317447423934937","-0.026317447423934937","-0.026317447423934937"
"2770","-0.026150444522500038","-0.026150444522500038","-0.026150444522500038"
"2794","-0.02296275459229946","-0.02296275459229946","-0.02296275459229946"
"2818","-0.019899515435099602","-0.019899515435099602","-0.019899515435099602"
"2842","-0.020140470936894417","-0.020140470936894417","-0.020140470936894417"
"2866","-0.018327701836824417","-0.018327701836824417","-0.018327701836824417"
"2890","-0.017688028514385223","-0.017688028514385223","-0.017688028514385223"
"2914","-0.017223233357071877","-0.017223233357071877","-0.017223233357071877"
"2938","-0.01681782864034176","-0.01681782864034176","-0.01681782864034176"
"2962","-0.01646897941827774","-0.01646897941827774","-0.01646897941827774"
"2986","-0.017087003216147423","-0.017087003216147423","-0.017087003216147423"
"3010","-0.01607397198677063","-0.01607397198677063","-0.01607397198677063"
"3034","-0.0160458292812109","-0.0160458292812109","-0.0160458292812109"
"3058","-0.015591397881507874","-0.015591397881507874","-0.015591397881507874"
"3082","-0.015008838847279549","-0.015008838847279549","-0.015008838847279549"
"3106","-0.01537761278450489","-0.01537761278450489","-0.01537761278450489"
"3130","-0.015206488780677319","-0.015206488780677319","-0.015206488780677319"
"3154","-0.014456239528954029","-0.014456239528954029","-0.014456239528954029"
"3178","-0.014431081712245941","-0.014431081712245941","-0.014431081712245941"
"3202","-0.014577756635844707","-0.014577756635844707","-0.014577756635844707"
"3226","-0.01445639319717884","-0.01445639319717884","-0.01445639319717884"
"3250","-0.014372958801686764","-0.014372958801686764","-0.014372958801686764"
"3274","-0.014582658186554909","-0.014582658186554909","-0.014582658186554909"
"3298","-0.01407522615045309","-0.01407522615045309","-0.01407522615045309"
"3322","-0.014556145295500755","-0.014556145295500755","-0.014556145295500755"
"3346","-0.01576511189341545","-0.01576511189341545","-0.01576511189341545"
"3370","-0.01816795952618122","-0.01816795952618122","-0.01816795952618122"
"3394","-0.017999129369854927","-0.017999129369854927","-0.017999129369854927"
"3418","-0.020510129630565643","-0.020510129630565643","-0.020510129630565643"
"3442","-0.022182730957865715","-0.022182730957865715","-0.022182730957865715"
"3466","-0.020655831322073936","-0.020655831322073936","-0.020655831322073936"
"3490","-0.01912396214902401","-0.01912396214902401","-0.01912396214902401"
"3514","-0.016542069613933563","-0.016542069613933563","-0.016542069613933563"
"3538","-0.016370542347431183","-0.016370542347431183","-0.016370542347431183"
"3562","-0.016747675836086273","-0.016747675836086273","-0.016747675836086273"
"3586","-0.017027895897626877","-0.017027895897626877","-0.017027895897626877"
"3610","-0.015510079450905323","-0.015510079450905323","-0.015510079450905323"
