"Step","obs_wo_linearv/11-28_18-09 - train/stats.tracking_error","obs_wo_linearv/11-28_18-09 - train/stats.tracking_error__MIN","obs_wo_linearv/11-28_18-09 - train/stats.tracking_error__MAX"
"2661","-0.22423365712165833","-0.22423365712165833","-0.22423365712165833"
"2684","-0.22561728954315186","-0.22561728954315186","-0.22561728954315186"
"2707","-0.22657908499240875","-0.22657908499240875","-0.22657908499240875"
"2729","-0.22620733082294464","-0.22620733082294464","-0.22620733082294464"
"2751","-0.23257328569889069","-0.23257328569889069","-0.23257328569889069"
"2773","-0.2313208281993866","-0.2313208281993866","-0.2313208281993866"
"2795","-0.2277364283800125","-0.2277364283800125","-0.2277364283800125"
"2818","-0.2267739474773407","-0.2267739474773407","-0.2267739474773407"
"2840","-0.22305575013160706","-0.22305575013160706","-0.22305575013160706"
"2863","-0.22389651834964752","-0.22389651834964752","-0.22389651834964752"
"2886","-0.22382000088691711","-0.22382000088691711","-0.22382000088691711"
"2908","-0.22499434649944305","-0.22499434649944305","-0.22499434649944305"
"2931","-0.2226908802986145","-0.2226908802986145","-0.2226908802986145"
"2954","-0.22219368815422058","-0.22219368815422058","-0.22219368815422058"
"2977","-0.21947504580020905","-0.21947504580020905","-0.21947504580020905"
"2999","-0.21833157539367676","-0.21833157539367676","-0.21833157539367676"
"3022","-0.2182854413986206","-0.2182854413986206","-0.2182854413986206"
"3045","-0.21650856733322144","-0.21650856733322144","-0.21650856733322144"
"3068","-0.2161717414855957","-0.2161717414855957","-0.2161717414855957"
"3091","-0.21796075999736786","-0.21796075999736786","-0.21796075999736786"
"3114","-0.21255278587341309","-0.21255278587341309","-0.21255278587341309"
"3137","-0.2164706438779831","-0.2164706438779831","-0.2164706438779831"
"3160","-0.21211975812911987","-0.21211975812911987","-0.21211975812911987"
"3183","-0.2121041715145111","-0.2121041715145111","-0.2121041715145111"
"3205","-0.21158422529697418","-0.21158422529697418","-0.21158422529697418"
"3228","-0.2084539532661438","-0.2084539532661438","-0.2084539532661438"
"3251","-0.21156731247901917","-0.21156731247901917","-0.21156731247901917"
"3274","-0.2106655389070511","-0.2106655389070511","-0.2106655389070511"
"3297","-0.20982882380485535","-0.20982882380485535","-0.20982882380485535"
"3320","-0.2136153280735016","-0.2136153280735016","-0.2136153280735016"
"3343","-0.21642959117889404","-0.21642959117889404","-0.21642959117889404"
"3366","-0.2120341807603836","-0.2120341807603836","-0.2120341807603836"
"3389","-0.2113003134727478","-0.2113003134727478","-0.2113003134727478"
"3412","-0.20817948877811432","-0.20817948877811432","-0.20817948877811432"
"3435","-0.2093769609928131","-0.2093769609928131","-0.2093769609928131"
"3458","-0.20705054700374603","-0.20705054700374603","-0.20705054700374603"
"3481","-0.20486515760421753","-0.20486515760421753","-0.20486515760421753"
"3504","-0.20738525688648224","-0.20738525688648224","-0.20738525688648224"
"3527","-0.2060672491788864","-0.2060672491788864","-0.2060672491788864"
"3550","-0.20458607375621796","-0.20458607375621796","-0.20458607375621796"
"3573","-0.20571285486221313","-0.20571285486221313","-0.20571285486221313"
